"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"고운동참샘빌딩건너편",무인대여소,,세종특별자치시 고운동 2058,36.506451,127.234265,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동마음로버스정류장",무인대여소,,세종특별자치시 고운동 2057,36.507032,127.231786,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"으뜸초등학교건너편",무인대여소,,세종특별자치시 고운동 1466,36.507874,127.230843,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1103동앞",무인대여소,,세종특별자치시 고운동 2057,36.510399,127.229930,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1302동앞",무인대여소,,세종특별자치시 고운동 1401,36.5138618392,127.2304272810,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1307동앞",무인대여소,,세종특별자치시 고운동 2057,36.514519,127.229748,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1004동앞",무인대여소,,세종특별자치시 고운동 2057,36.514329,127.229469,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운고등학교건너편",무인대여소,,세종특별자치시 고운동 2058,36.510417,127.234014,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(마음안로)",무인대여소,,세종특별자치시 고운동 1411,36.5116891911,127.2325377128,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동성당건너편",무인대여소,,세종특별자치시 고운동 1403,36.513286,127.232982,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(마음안로)",무인대여소,,세종특별자치시 고운동 1355,36.515171,127.233130,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
